-0.150	0.442	0.750
0.397	0.751	1.134
0.563	1.144	1.531
0.983	1.223	1.830
1.269	1.615	1.944
1.353	1.772	2.236
1.679	2.071	2.688
2.049	2.325	2.647
2.189	2.661	3.048
2.620	2.976	3.302
2.750	3.231	3.474
3.047	3.272	3.725
3.405	3.706	3.889
3.476	3.924	4.126
3.874	4.120	4.229
3.816	4.146	4.279
4.203	4.218	4.568
4.353	4.586	4.741
4.422	4.519	4.610
4.448	4.750	4.608
4.575	4.603	4.856
4.564	4.637	4.961
4.696	4.757	4.875
4.869	4.947	4.912
4.836	4.760	4.892
4.840	4.819	4.911
4.913	4.678	4.743
4.777	4.811	4.666
4.785	4.625	4.429
4.615	4.552	4.507
4.617	4.611	4.358
4.463	4.237	4.178
4.386	4.060	4.023
4.251	3.924	3.914
3.987	3.974	3.639
3.864	3.638	3.240
3.877	3.508	3.039
3.648	3.329	2.930
3.227	2.902	2.751
3.084	2.650	2.397
2.920	2.470	2.060
2.619	2.286	1.925
2.403	1.950	1.450
2.025	1.775	1.132
1.790	1.434	0.953
1.380	1.226	0.801
1.221	0.746	0.363
0.871	0.594	0.013
0.595	0.118	-0.092
0.244	-0.047	-0.520
-0.091	-0.344	-0.740
-0.335	-0.725	-1.023
-0.750	-0.876	-1.412
-1.044	-1.311	-1.814
-1.103	-1.573	-1.956
-1.589	-1.792	-2.390
-1.902	-2.099	-2.597
-1.933	-2.504	-2.845
-2.444	-2.628	-2.938
-2.536	-2.916	-3.196
-2.925	-3.289	-3.638
-3.223	-3.313	-3.588
-3.407	-3.731	-3.867
-3.681	-3.927	-4.072
-3.661	-3.936	-4.204
-4.051	-4.176	-4.448
-4.036	-4.369	-4.503
-4.330	-4.414	-4.581
-4.350	-4.653	-4.679
-4.370	-4.589	-4.623
-4.705	-4.775	-4.899
-4.549	-4.797	-4.686
-4.885	-4.788	-4.971
-4.830	-4.717	-4.980
-4.722	-4.912	-4.901
-4.769	-4.858	-4.866
-4.802	-4.764	-4.728
-4.822	-4.711	-4.593
-4.657	-4.568	-4.496
-4.631	-4.555	-4.454
-4.707	-4.393	-4.266
-4.388	-4.414	-4.224
-4.357	-4.132	-3.938
-4.294	-4.032	-3.905
-4.023	-3.819	-3.545
-3.866	-3.569	-3.474
-3.714	-3.343	-3.020
-3.501	-3.164	-3.042
-3.270	-2.856	-2.711
-3.071	-2.812	-2.494
-2.968	-2.387	-2.021
-2.526	-2.335	-1.900
-2.463	-2.084	-1.521
-1.969	-1.661	-1.287
-1.813	-1.446	-0.986
-1.498	-1.195	-0.728
-1.135	-0.848	-0.274
-0.771	-0.378	-0.000
-0.668	-0.053	0.125
-0.435	0.204	0.548
