0.019	0.331	0.935
0.330	0.719	1.095
0.726	1.122	1.508
0.811	1.428	1.785
1.210	1.552	1.858
1.376	1.854	2.171
1.685	2.318	2.525
1.951	2.291	2.648
2.300	2.707	3.060
2.629	2.978	3.170
2.899	3.167	3.444
2.958	3.437	3.778
3.411	3.621	3.824
3.648	3.879	4.195
3.864	4.004	4.110
3.912	4.078	4.467
4.008	4.389	4.587
4.399	4.587	4.624
4.356	4.481	4.619
4.611	4.505	4.713
4.490	4.779	4.669
4.550	4.910	4.768
4.696	4.851	4.906
4.913	4.914	4.840
4.752	4.922	4.810
4.837	4.966	4.849
4.722	4.825	4.679
4.882	4.773	4.655
4.722	4.562	4.451
4.675	4.665	4.422
4.759	4.539	4.236
4.410	4.384	4.128
4.257	4.251	3.965
4.144	4.165	3.672
4.216	3.910	3.522
3.901	3.531	3.509
3.792	3.349	3.256
3.632	3.257	2.812
3.223	3.094	2.648
2.988	2.755	2.465
2.822	2.432	2.147
2.653	2.308	1.915
2.329	1.844	1.523
2.165	1.535	1.277
1.834	1.363	0.857
1.633	1.217	0.690
1.160	0.784	0.334
1.013	0.435	0.054
0.539	0.331	-0.298
0.376	-0.098	-0.632
0.078	-0.321	-0.873
-0.304	-0.608	-1.282
-0.460	-1.003	-1.569
-0.899	-1.412	-1.619
-1.168	-1.564	-2.094
-1.396	-2.008	-2.394
-1.712	-2.227	-2.409
-2.129	-2.489	-2.904
-2.266	-2.598	-2.976
-2.569	-2.871	-3.345
-2.957	-3.331	-3.620
-3.000	-3.300	-3.780
-3.435	-3.600	-4.029
-3.651	-3.825	-3.982
-3.681	-3.979	-4.345
-3.943	-4.247	-4.300
-4.158	-4.325	-4.564
-4.227	-4.428	-4.552
-4.490	-4.550	-4.541
-4.451	-4.520	-4.844
-4.662	-4.822	-4.654
-4.710	-4.635	-4.956
-4.726	-4.947	-4.868
-4.682	-4.982	-4.726
-4.903	-4.930	-4.739
-4.877	-4.921	-4.738
-4.809	-4.810	-4.724
-4.782	-4.700	-4.527
-4.665	-4.629	-4.467
-4.678	-4.612	-4.511
-4.541	-4.448	-4.161
-4.586	-4.430	-4.099
-4.329	-4.166	-4.008
-4.252	-4.156	-3.707
-4.061	-3.817	-3.524
-3.832	-3.766	-3.346
-3.627	-3.330	-3.109
-3.467	-3.370	-2.855
-3.177	-3.055	-2.635
-3.150	-2.852	-2.513
-2.740	-2.393	-2.053
-2.702	-2.284	-1.974
-2.463	-1.915	-1.467
-2.052	-1.690	-1.299
-1.846	-1.396	-0.975
-1.603	-1.144	-0.604
-1.262	-0.694	-0.234
-0.797	-0.423	-0.128
-0.475	-0.298	0.107
-0.219	0.126	0.573
